	Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
1	transmembrane receptor protein tyrosine kinase activity (GO:0004714)	1/61	0.00304995120016544	0.0101998644833364	0	0	19939	115499.243357737	EGFR
2	transmembrane receptor protein kinase activity (GO:0019199)	1/62	0.00309995067830442	0.0101998644833364	0	0	19938	115169.246674014	EGFR
3	mitogen-activated protein kinase kinase binding (GO:0031434)	1/65	0.00324994913440705	0.0101998644833364	0	0	19935	114209.926138601	EGFR
4	phosphatidylinositol-4,5-bisphosphate 3-kinase activity (GO:0046934)	1/68	0.00339994762161893	0.0101998644833364	0	0	19932	113293.393380501	EGFR
5	phosphatidylinositol bisphosphate kinase activity (GO:0052813)	1/71	0.00354994613866188	0.0101998644833364	0	0	19929	112415.958534162	EGFR
6	phosphatidylinositol 3-kinase activity (GO:0035004)	1/76	0.00379994372817525	0.0101998644833364	0	0	19924	111031.849969112	EGFR
7	MAP kinase kinase kinase activity (GO:0004709)	1/78	0.00389994278404662	0.0101998644833364	0	0	19922	110503.218049285	EGFR
8	protein phosphatase binding (GO:0019903)	1/92	0.00459993647198656	0.0101998644833364	0	0	19908	107139.138144089	EGFR
9	double-stranded DNA binding (GO:0003690)	1/99	0.00494993348840685	0.0101998644833364	0	0	19901	105642.093050767	EGFR
10	phosphatase binding (GO:0019902)	1/102	0.00509993224166821	0.0101998644833364	0	0	19898	105032.150647171	EGFR
11	actin filament binding (GO:0051015)	1/127	0.00634992249622476	0.0115453136294996	0	0	19873	100543.720720142	EGFR
12	protein tyrosine kinase activity (GO:0004713)	1/147	0.00734991540179825	0.0122498590029971	0	0	19853	97539.108743721	EGFR
