	Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
1	Bladder cancer	1/41	0.00204996254668666	0.012221016199783	0	0	19959	123544.887834161	EGFR
2	Endometrial cancer	1/58	0.00289995278877073	0.012221016199783	0	0	19942	116522.318909461	EGFR
3	Central carbon metabolism in cancer	1/65	0.00324994913440705	0.012221016199783	0	0	19935	114209.926138601	EGFR
4	Non-small cell lung cancer	1/66	0.00329994862660804	0.012221016199783	0	0	19934	113899.853573539	EGFR
5	Epithelial cell signaling in Helicobacter pylori infection	1/68	0.00339994762161893	0.012221016199783	0	0	19932	113293.393380501	EGFR
6	Adherens junction	1/72	0.00359994565021312	0.012221016199783	0	0	19928	112131.598385724	EGFR
7	Melanoma	1/72	0.00359994565021312	0.012221016199783	0	0	19928	112131.598385724	EGFR
8	Pancreatic cancer	1/75	0.00374994420411253	0.012221016199783	0	0	19925	111301.335286426	EGFR
9	Glioma	1/75	0.00374994420411253	0.012221016199783	0	0	19925	111301.335286426	EGFR
10	ErbB signaling pathway	1/85	0.00424993956704509	0.012221016199783	0	0	19915	108752.838019483	EGFR
11	Colorectal cancer	1/86	0.00429993911738665	0.012221016199783	0	0	19914	108514.461022902	EGFR
12	Gap junction	1/88	0.00439993822628222	0.012221016199783	0	0	19912	108045.793052324	EGFR
13	GnRH signaling pathway	1/93	0.00464993603918791	0.012221016199783	0	0	19907	106918.542421069	EGFR
14	Prostate cancer	1/97	0.0048499343304707	0.012221016199783	0	0	19903	106058.90964359	EGFR
15	Choline metabolism in cancer	1/99	0.00494993348840685	0.012221016199783	0	0	19901	105642.093050767	EGFR
16	HIF-1 signaling pathway	1/100	0.00499993307105565	0.012221016199783	0	0	19900	105436.781973287	EGFR
17	Parathyroid hormone synthesis, secretion and action	1/106	0.00529993060765259	0.012221016199783	0	0	19894	104245.784503661	EGFR
18	Relaxin signaling pathway	1/130	0.00649992139525279	0.012221016199783	0	0	19870	100064.628428459	EGFR
19	FoxO signaling pathway	1/132	0.00659992066989938	0.012221016199783	0	0	19868	99751.2209049193	EGFR
20	Estrogen signaling pathway	1/137	0.00684991887976516	0.012221016199783	0	0	19863	98987.6273526902	EGFR
21	Breast cancer	1/147	0.00734991540179825	0.012221016199783	0	0	19853	97539.108743721	EGFR
22	Phospholipase D signaling pathway	1/148	0.00739991506139101	0.012221016199783	0	0	19852	97399.6047005257	EGFR
23	Gastric cancer	1/149	0.00744991472216056	0.012221016199783	0	0	19851	97261.0205156122	EGFR
24	Oxytocin signaling pathway	1/153	0.0076499133771538	0.012221016199783	0	0	19847	96715.6407630817	EGFR
25	Cushing syndrome	1/155	0.00774991271205749	0.012221016199783	0	0	19845	96448.1625495233	EGFR
26	Hepatitis C	1/155	0.00774991271205749	0.012221016199783	0	0	19845	96448.1625495233	EGFR
27	JAK-STAT signaling pathway	1/162	0.00809991042026185	0.0122998639715087	0	0	19838	95537.8693630287	EGFR
28	Hepatocellular carcinoma	1/168	0.00839990850110952	0.0122998660194818	0	0	19832	94787.7275280709	EGFR
29	Calcium signaling pathway	1/188	0.00939990237013506	0.0131967432536251	0	0	19812	92463.712994847	EGFR
30	Focal adhesion	1/199	0.00994989916101596	0.0131967432536251	0	0	19801	91286.4288690606	EGFR
