	Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
1	regulation of apoptotic process (GO:0042981)	5/815	2.17713919486991e-06	0.000740227326255768	0	0	59.2067901234568	771.908457490089	GSK3B;JUN;NEK4;ABL1;NFKB1
2	regulation of cellular response to stress (GO:0080135)	3/104	4.70859854388002e-06	0.000800461752459603	0	0	147.712871287129	1811.86384068843	GSK3B;NEK4;ABL1
3	positive regulation of cell differentiation (GO:0045597)	3/194	3.05632776269855e-05	0.00296979562161558	0	0	77.7565445026178	808.334592006879	JUN;ABL1;NFKB1
4	negative regulation of transferase activity (GO:0051348)	2/30	4.54623569093605e-05	0.00296979562161558	0	0	285.214285714286	2851.75094279513	GSK3B;ABL1
5	positive regulation of cell-matrix adhesion (GO:0001954)	2/33	5.51543927422646e-05	0.00296979562161558	0	0	257.574193548387	2525.61134289348	GSK3B;ABL1
6	regulation of transcription, DNA-templated (GO:0006355)	5/1598	5.92680692622676e-05	0.00296979562161558	0	0	28.8763339610797	281.066059929406	JUN;NEK4;ABL1;FOXK2;NFKB1
7	regulation of response to DNA damage stimulus (GO:2001020)	2/36	6.57764051548737e-05	0.00296979562161558	0	0	234.811764705882	2261.0610369429	NEK4;ABL1
8	positive regulation of gene expression (GO:0010628)	4/771	6.98775440380136e-05	0.00296979562161558	0	0	33.4219904389396	319.807213075061	GSK3B;JUN;NEK4;NFKB1
9	positive regulation of cell-substrate adhesion (GO:0010811)	2/52	0.00013807555394688	0.0052161875935488	0	0	159.544	1417.98072929542	GSK3B;ABL1
10	positive regulation of protein binding (GO:0032092)	2/60	0.000184063588438579	0.00608890211819165	0	0	137.48275862069	1182.38324490863	GSK3B;ABL1
11	cellular response to reactive oxygen species (GO:0034614)	2/65	0.000216120604261985	0.00608890211819165	0	0	126.539682539683	1067.95366275566	JUN;ABL1
12	regulation of gene expression (GO:0010468)	4/1037	0.000221702787927816	0.00608890211819165	0	0	24.4724104549855	205.915092020704	GSK3B;ABL1;FOXK2;NFKB1
13	phosphorylation (GO:0016310)	3/386	0.000235672092951054	0.00608890211819165	0	0	38.4007832898172	320.76439845477	GSK3B;NEK4;ABL1
14	stress-activated protein kinase signaling cascade (GO:0031098)	2/70	0.000250719498984362	0.00608890211819165	0	0	117.205882352941	971.774572764675	NEK4;NFKB1
15	positive regulation of transcription, DNA-templated (GO:0045893)	4/1120	0.000298684462596676	0.00677018115219133	0	0	22.5531660692951	183.044266493918	JUN;NEK4;FOXK2;NFKB1
16	negative regulation of binding (GO:0051100)	2/82	0.000344089241095118	0.00731189637327126	0	0	99.565	793.991996106761	GSK3B;JUN
17	positive regulation of protein complex assembly (GO:0031334)	2/88	0.000396222954561481	0.00792445909122962	0	0	92.5906976744186	725.312330963059	GSK3B;JUN
18	protein phosphorylation (GO:0006468)	3/470	0.000420633450101673	0.00794529850192048	0	0	31.3586723768737	243.774440767512	GSK3B;NEK4;ABL1
19	regulation of cytoskeleton organization (GO:0051493)	2/95	0.000461617357104636	0.00826052112713559	0	0	85.5913978494624	657.408203890213	GSK3B;ABL1
20	positive regulation of nucleic acid-templated transcription (GO:1903508)	3/502	0.000510250915907658	0.00867426557043018	0	0	29.2995991983968	222.108774945049	JUN;NEK4;NFKB1
21	response to endoplasmic reticulum stress (GO:0034976)	2/106	0.000574286834965629	0.00929797732801494	0	0	76.4961538461538	570.843488941552	GSK3B;JUN
22	cellular response to oxidative stress (GO:0034599)	2/115	0.000675435909192625	0.0104385549602497	0	0	70.3716814159292	513.723990826479	JUN;ABL1
23	response to lipopolysaccharide (GO:0032496)	2/155	0.00122161222453237	0.0180586154930872	0	0	51.8692810457516	347.917549111024	JUN;NFKB1
24	protein autophosphorylation (GO:0046777)	2/175	0.00155316315640011	0.0189144585548724	0	0	45.8265895953757	296.381712201002	GSK3B;ABL1
25	Fc-epsilon receptor signaling pathway (GO:0038095)	2/182	0.00167830814361295	0.0189144585548724	0	0	44.0288888888889	281.34323732188	JUN;NFKB1
26	Fc receptor signaling pathway (GO:0038093)	2/183	0.00169656941481244	0.0189144585548724	0	0	43.7834254143646	279.300909425349	JUN;NFKB1
27	regulation of hyaluronan biosynthetic process (GO:1900125)	1/6	0.00209838728197325	0.0189144585548724	0	0	666.266666666667	4108.59082569121	NFKB1
28	regulation of NFAT protein import into nucleus (GO:0051532)	1/6	0.00209838728197325	0.0189144585548724	0	0	666.266666666667	4108.59082569121	GSK3B
29	negative regulation of phospholipase activity (GO:0010519)	1/6	0.00209838728197325	0.0189144585548724	0	0	666.266666666667	4108.59082569121	ABL1
30	positive regulation of protein localization to centrosome (GO:1904781)	1/6	0.00209838728197325	0.0189144585548724	0	0	666.266666666667	4108.59082569121	GSK3B
