Node	Degree	Color	Type
TP53	30	pink	Transcription_factor
JUN	28	pink	Transcription_factor
HDAC2	24	pink	Transcription_factor
EGFR	21	blue	Kinase
SF3A2	21	pink	Transcription_factor
SRC	16	blue	Kinase
SMAD4	15	pink	Transcription_factor
ABL1	14	blue	Kinase
ERBB2	14	blue	Kinase
CBL	12	green	Interacting_protein
CREBBP	12	green	Interacting_protein
AKT1	12	blue	Kinase
TFDP1	11	pink	Transcription_factor
CRKL	11	green	Interacting_protein
HIF1A	10	pink	Transcription_factor
CUL1	10	pink	Transcription_factor
CREB1	10	pink	Transcription_factor
RELA	10	pink	Transcription_factor
PPP2CA	10	green	Interacting_protein
GSK3B	10	blue	Kinase
AR	9	blue	Kinase
MAPK1	9	blue	Kinase
MAPK14	9	blue	Kinase
SMAD1	8	pink	Transcription_factor
NFKB1	8	pink	Transcription_factor
RNF2	8	pink	Transcription_factor
RAF1	8	blue	Kinase
EP300	8	pink	Transcription_factor
MYC	7	pink	Transcription_factor
FOS	7	pink	Transcription_factor
RYBP	7	green	Interacting_protein
ESR1	7	blue	Kinase
CDK2AP1	7	green	Interacting_protein
NPM1	7	pink	Transcription_factor
BRAF	7	blue	Kinase
ERBB3	7	blue	Kinase
TGFBR1	7	blue	Kinase
