Node	Degree	Color	Type
JUN	93	pink	Transcription_factor
NEK4	23	blue	Kinase
NUDCD1	16	green	Interacting_protein
NFKB1	11	pink	Transcription_factor
ABL1	10	blue	Kinase
GSK3B	10	blue	Kinase
FOXK2	9	pink	Transcription_factor
FOS	8	pink	Transcription_factor
FOXJ2	8	pink	Transcription_factor
ZNF189	8	pink	Transcription_factor
ERBB2	8	blue	Kinase
STAT3	8	pink	Transcription_factor
TRMO	8	green	Interacting_protein
E2F3	7	pink	Transcription_factor
SF3A2	7	pink	Transcription_factor
PLK1	7	blue	Kinase
RXRA	7	blue	Kinase
DVL2	6	pink	Transcription_factor
FOXP3	6	pink	Transcription_factor
RBM10	6	pink	Transcription_factor
SMAD4	6	pink	Transcription_factor
CBLL1	6	pink	Transcription_factor
EGFR	6	blue	Kinase
SRC	6	blue	Kinase
XPA	6	pink	Transcription_factor
AXIN1	5	green	Interacting_protein
FBXW7	5	green	Interacting_protein
JUNB	5	green	Interacting_protein
NR3C1	5	blue	Kinase
NR4A1	5	green	Interacting_protein
SF3B4	5	green	Interacting_protein
ABL2	5	blue	Kinase
BCL2L1	5	green	Interacting_protein
RELA	5	pink	Transcription_factor
SF3B3	5	green	Interacting_protein
AURKA	5	blue	Kinase
CREB1	4	pink	Transcription_factor
YBX1	4	pink	Transcription_factor
ADRB2	4	blue	Kinase
BCAR1	4	green	Interacting_protein
BRCA1	4	pink	Transcription_factor
BUB1	4	blue	Kinase
CSNK1D	4	blue	Kinase
ERBB3	4	blue	Kinase
MAP3K7	4	blue	Kinase
NCOA1	4	pink	Transcription_factor
PLK4	4	blue	Kinase
PRKCD	4	blue	Kinase
FEN1	4	green	Interacting_protein
BAG1	3	green	Interacting_protein
BANP	3	green	Interacting_protein
DVL1	3	pink	Transcription_factor
MYC	3	pink	Transcription_factor
RNF2	3	pink	Transcription_factor
SERBP1	3	green	Interacting_protein
SF1	3	green	Interacting_protein
SFMBT1	3	green	Interacting_protein
SMAD7	3	pink	Transcription_factor
TCF4	3	pink	Transcription_factor
TRAF1	3	green	Interacting_protein
ZNF579	3	pink	Transcription_factor
CSNK1E	3	blue	Kinase
CSNK2A1	3	blue	Kinase
F2RL1	3	blue	Kinase
FOXK1	3	pink	Transcription_factor
GPR35	3	blue	Kinase
LCK	3	blue	Kinase
MAPK1	3	blue	Kinase
NCOR2	3	pink	Transcription_factor
PTK2	3	blue	Kinase
RIPK1	3	blue	Kinase
SH2B3	3	green	Interacting_protein
STK11	3	blue	Kinase
TRAF6	3	green	Interacting_protein
ZNF746	3	green	Interacting_protein
TRIM28	3	green	Interacting_protein
TRMT2A	3	green	Interacting_protein
NRF1	3	pink	Transcription_factor
ZBTB10	3	pink	Transcription_factor
EWSR1	3	pink	Transcription_factor
PDPK1	3	blue	Kinase
PRKDC	3	blue	Kinase
CHEK2	3	blue	Kinase
VRK3	3	blue	Kinase
ZNF282	3	pink	Transcription_factor
BMPR1A	3	blue	Kinase
AR	2	blue	Kinase
AXIN2	2	green	Interacting_protein
BIN1	2	green	Interacting_protein
DPF2	2	pink	Transcription_factor
FBXO30	2	green	Interacting_protein
FOXH1	2	pink	Transcription_factor
FOXJ3	2	pink	Transcription_factor
FOXP1	2	pink	Transcription_factor
LARP1	2	pink	Transcription_factor
NFATC1	2	pink	Transcription_factor
PML	2	pink	Transcription_factor
YY1	2	pink	Transcription_factor
AGTR1	2	blue	Kinase
BCAR3	2	green	Interacting_protein
BICD1	2	green	Interacting_protein
CDK4	2	blue	Kinase
CDK9	2	blue	Kinase
CHRM3	2	blue	Kinase
CIC	2	pink	Transcription_factor
ERBB4	2	blue	Kinase
ESR1	2	blue	Kinase
FYN	2	blue	Kinase
GSK3A	2	blue	Kinase
HIPK2	2	blue	Kinase
IRAK1	2	blue	Kinase
IRS2	2	green	Interacting_protein
LYN	2	blue	Kinase
MAPK9	2	blue	Kinase
MECP2	2	pink	Transcription_factor
NR1H3	2	blue	Kinase
NUP153	2	green	Interacting_protein
PTGER4	2	blue	Kinase
RAF1	2	blue	Kinase
RARA	2	blue	Kinase
RET	2	blue	Kinase
RIPK2	2	blue	Kinase
SATB2	2	pink	Transcription_factor
SHANK3	2	green	Interacting_protein
ZNF331	2	pink	Transcription_factor
ZNF512B	2	pink	Transcription_factor
BAZ2A	2	pink	Transcription_factor
ZNF131	2	green	Interacting_protein
YARS1	2	green	Interacting_protein
ZBTB34	2	pink	Transcription_factor
BEND3	2	green	Interacting_protein
ZFR	2	green	Interacting_protein
FARSB	2	green	Interacting_protein
ATF2	2	pink	Transcription_factor
CORO1C	2	green	Interacting_protein
FARSA	2	green	Interacting_protein
FAU	2	green	Interacting_protein
HIC2	2	pink	Transcription_factor
NR2F6	2	blue	Kinase
NSUN2	2	green	Interacting_protein
RCOR1	2	pink	Transcription_factor
SFPQ	2	green	Interacting_protein
SFXN1	2	green	Interacting_protein
ZNF592	2	pink	Transcription_factor
AKAP8L	2	pink	Transcription_factor
CPSF4	2	pink	Transcription_factor
FLT3	2	blue	Kinase
