Term	Type	Overlap	P.value	Adjusted.P.value	Genes
ADNP2	EnrichR	53/299	5.79358929872805e-13	3.11586474472218e-11	ERRFI1;CSRNP1;RIF1;CITED2;CHD7;IRS2;ETS1;CHD1;SYNCRIP;SPRED2;CCNL1;KLF10;TLE3;ZHX2;RBM15;PDE4D;CD3EAP;ARID5B;FOS;ARID1A;ARID1B;SBDS;NUP98;ATF3;ATF4;OSER1;ZBTB43;FOXO3;RLF;NFIL3;ABL2;LDLR;SPEN;CREBBP;JUN;GADD45B;TIPARP;ZBTB10;NR1D2;NUP153;KLF4;NFKB1;FOSL2;NR4A2;NFKBIA;NR4A1;WEE1;KLF6;RYBP;AGO2;REL;CDK12;ZCCHC2
ADNP2	human tf ARCHS4 coexpression	42/299	1.69527772959133e-07	6.64240637685332e-06	RIF1;NUFIP2;AMD1;JADE1;CHD1;WDR43;LMNB2;SYNCRIP;LARP1;CHAF1A;TCOF1;ORC1;XPO5;RBPMS2;VRTN;CCT4;CCT2;TGIF2;RCC2;KNOP1;PAWR;RRAS2;AEN;NUP153;CTPS1;RRP1B;CDYL;ARID3B;SSRP1;ZIC5;LARP4;CDC25A;LARS2;YRDC;CCNE1;RFWD3;TAF4B;CEBPZ;ABCE1;ZNF410;NUP58;RAN
ADNP	human tf ARCHS4 coexpression	29/299	0.00626042384336731	0.0342633990665563	FAXC;CHD7;RASAL2;RRP8;STRN3;GJC1;SBNO1;LSM12;NHSL1;TAF1B;CSTF1;CEP95;RBBP6;RRP15;ZNF121;TGIF2;WTAP;LARP4B;ACVR2A;PUM2;RPUSD4;NR6A1;KANSL2;ETNK1;NUP50;ZNF558;INTS6;SRSF7;ARF6
AEBP2	EnrichR	49/299	7.99302599006849e-11	1.96514253270112e-09	OTUD4;RIF1;CITED2;CHD7;IRS2;ETS1;CHD1;SYNCRIP;KIF5B;CCNL1;TEAD1;TLE3;CERS6;FBXW7;PDE4D;TET2;CD3EAP;ARID5B;FRMD4A;FOS;ARID1A;YWHAZ;ARID1B;RUNX1;NCOR2;ZEB2;ZEB1;CREB1;CDC42EP3;WAC;RBMS1;CLOCK;NUFIP2;ROCK2;ATL2;ASAP1;FOXO3;CDK17;SUZ12;JUN;ZBTB10;FOXN2;KLF4;NFKB1;FOSL2;KLF6;RYBP;ETNK1;CPEB2
AFF1	EnrichR	43/299	6.14141979561026e-08	5.71318025310554e-07	ERRFI1;CITED2;ABHD2;CHD7;NEDD9;IRS2;ASAP1;ZC3HAV1;FOXO3;ETS1;FOXO1;NFIL3;CCND1;PDE4B;ST3GAL1;TEAD1;SPEN;TLE3;CREBBP;JUN;CERS6;GADD45B;TIPARP;TET2;CD3EAP;ARID5B;FRMD4A;FOS;CFLAR;ARHGAP26;ARID1A;KLF4;ARID1B;RUNX1;FOSL2;NCOR2;NFKBIA;ZEB2;KLF6;PALLD;RBMS1;TACC1;ATF3
AFF1	human tf ARCHS4 coexpression	36/299	4.14537433664243e-05	0.000541411011846329	OTUD4;ZNF592;NUFIP2;ABHD2;TCF20;ARHGAP6;RAI1;ZNF609;PCNX1;LARP1;SPTBN2;RBM33;SPEN;CREBBP;KDM2A;ITGA4;LMTK2;NUP153;GAB2;CFLAR;SSH2;ARID1A;RUNX1;FOSL2;NCOR2;ASXL1;FAM160A1;ARHGAP10;RNF169;KAT6A;TET3;RAPGEF1;TACC1;CDK12;ZCCHC2;TAF1
AFF3	EnrichR	29/299	0.00626042384336731	0.0118138042044245	CLSTN2;XYLT1;NEDD9;GATA3;ETS1;LTBP1;GLI2;CHST11;CCND1;PDE4B;ST3GAL1;RUNX1T1;JUN;SYT1;ITGA4;PDE4D;ARID5B;FRMD4A;NRG1;FOS;SULF1;KLF4;RUNX1;TIAM1;ZEB2;PALLD;KIF26B;KCNQ5;CREB5
AFF4	EnrichR	36/299	4.14537433664243e-05	0.000160679937688325	OTUD4;RIF1;NUFIP2;ROCK2;CHD7;ARID4B;IRS2;FOXO3;CHD1;SBNO1;LARP1;KIF5B;ABL2;RBBP6;CCNL1;TEAD1;SPEN;CREBBP;JUN;ZFR;CD3EAP;ARID5B;NUP153;FOS;ARID1A;YWHAZ;RC3H2;PUM2;FOSL2;ZEB2;CLIP1;KLF6;ETNK1;KAT6A;AAK1;CLOCK
AFF4	human tf ARCHS4 coexpression	34/299	0.000204273093710405	0.0021343443245863	NUFIP2;ROCK2;ABHD2;RAPH1;TCF20;RLF;NDST1;PCNX1;KIF5B;SACS;ABL1;ANKFY1;ANKRD52;TEAD1;AGFG1;SPEN;CREBBP;ZHX3;FBXW11;CMTM4;LMTK2;NR1D2;SYNJ2;RC3H2;TANC2;RNF169;FUBP3;KAT6A;TET3;WAC;TACC1;CDK12;AMOTL1;CPEB2
AHCTF1	EnrichR	36/299	4.14537433664243e-05	0.000160679937688325	OTUD4;RIF1;NUFIP2;ROCK2;CHD7;ARID4B;IRS2;CHD1;WDR43;SYNCRIP;LARP1;TCOF1;KIF5B;RBBP6;CCNL1;RRP15;SUZ12;SPEN;NOP56;JUN;RBM15;ZFR;WDR75;CD3EAP;NUP153;LARP4;ARID1A;PUM2;NCOR2;RSL1D1;KLF6;AGO2;SRSF2;CEBPZ;NUP98;SRSF7
